No.	Question ID	Question	Labels
1	55046d5ff8aee20f27000007	List signaling molecules (ligands) that interact with the receptor EGFR?	umls:aapp
2	52f8b2902059c6d71c000053	Which thyroid hormone transporter is implicated in thyroid hormone resistance syndrome?	umls:enzy
3	553fa78b1d53b76422000007	Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?	umls:nusq,umls:gngm
4	5149199dd24251bc05000040	Which acetylcholinesterase inhibitors are used for treatment of myasthenia gravis?	umls:orch,umls:clnd,umls:phsu
5	5709e4b2cf1c32585100001c	List the human genes encoding for the dishevelled proteins?	tmtool:Gene,umls:bacs,umls:aapp
6	56bc751eac7ad10019000013	Name synonym of Acrokeratosis paraneoplastica.	umls:neop
7	54d4e03a3706e89528000001	Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?	umls:clas
8	55072c803b8a5dc045000001	Which are the different isoforms of the mammalian Notch receptor?	tmtool:Gene,umls:bacs,umls:gngm,umls:aapp
9	53061af558348c0f52000002	Which are the major characteristics of cellular senescence?	umls:celf,umls:comd
10	56c1f01def6e394741000045	Orteronel was developed for treatment of which cancer?	umls:neop
11	54d643023706e89528000007	Which is the protein that is encoded by the gene GLT8D1?	umls:gngm,umls:aapp
12	53137541e3eabad021000010	Which are the Yamanaka factors?	umls:bacs,umls:gngm,umls:aapp
13	56af9f130a360a5e45000015	Where is the protein Pannexin1 located?	umls:celc
14	52bf1b0a03868f1b06000009	What is the mode of inheritance of Wilson's disease?	umls:genf
15	52bf19c503868f1b06000001	What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?	umls:genf
16	54f9d3eedd3fc62544000004	Which proteins participate in the formation of the ryanodine receptor quaternary macromolecular complex?	tmtool:Gene,umls:gngm,umls:aapp
17	5505edac8e1671127b000005	What kind of chromatography is HILIC?	umls:lbpr
18	515deafd298dcd4e51000025	List the endoscopic diagnoses that have been reported in children with autism	umls:diap
19	5518e7da622b194345000004	Which MAP kinase phosphorylates the transcription factor c-jun?	umls:enzy
20	530a5117970c65fa6b000007	"What is the meaning of the acronym ""TAILS"" used in protein N-terminomics?"	umls:amas
21	52bf202003868f1b06000018	What are the main indications of lacosamide?	umls:dsyn
22	552fac4fbc4f83e828000006	Which fusion protein is involved in the development of Ewing sarcoma?	umls:aapp
23	56be0da3ef6e394741000007	List Hemolytic Uremic Syndrome Triad.	tmtool:Disease,umls:dsyn
24	515a7ffdd24251bc050000a5	What are the effects of depleting protein km23-1 (DYNLRB1) in a cell?	umls:lbtr
25	54cf7051f693c3b16b000013	Treatment of which disease was investigated in the MR CLEAN study?	umls:dsyn,umls:topp
26	56a92be0a17756b72f000009	Which factors activate zygotic gene expression during the maternal-to-zygotic transition in zebrafish?	umls:bacs,umls:aapp
27	54e0d1491388e8454a000014	Which enzyme is targeted by Evolocumab?	umls:enzy,umls:aapp
28	51404dd723fec90375000002	What is the methyl donor of DNA (cytosine-5)-methyltransferases?	umls:nnon,umls:bacs,umls:phsu,umls:aapp
29	54ede8c594afd61504000009	In which phase of the cell cycle arrest is impaired in Fanconi anemia?	umls:biof
30	551c23bc6b348bb82c00000b	Mutation of which gene is implicated in the familial isolated pituitary adenoma?	umls:gngm
31	5314a7a4dae131f847000003	which mutations of troponin C gene have been found to cause hypertrophic cardiomyopathy?	umls:gngm
32	56c1f02cef6e39474100004c	GV1001 vaccine targets which enzyme?	umls:enzy,umls:aapp
33	550af222c2af5d5b7000000b	Which is the E3 ubiquitin ligase which ubiquitinates IkB leading to its proteasomal degradation?	umls:enzy
34	56c1f03bef6e394741000053	Mutation of which gene is implicated in the Brain-lung-thyroid syndrome?	umls:bacs,umls:aapp
35	532498959b2d7acc7e000017	Which enzyme is targeted by the drug Imetelstat?	umls:enzy,umls:aapp
36	56c1f005ef6e39474100003a	Which interleukins are inhibited by Dupilumab?	umls:imft,umls:aapp
37	513ce3c8bee46bd34c000008	Which human genes are more commonly related to craniosynostosis?	umls:gngm
